	stunting_SC	stunting_GB	stunting_Pan77	chlorotic_area_SC	chlorotic_area_GB	chlorotic_area_Pan77	av_streak_width_SC	av_streak_width_GB	av_streak_width_Pan77	deviation_from_rectangle_SC	deviation_from_rectangle_GB	deviation_from_rectangle_Pan77	yellowness_SC	yellowness_GB	yellowness_Pan77	whitness_SC	whitness_GB	whitness_Pan77
MSV-A-UG-Mba41_2005	NA	NA	-0.604043821471637	NA	NA	-0.0727427915710081	NA	NA	-3.2657465966214	NA	NA	-1.44680953595529	NA	NA	0.0572182680282443	NA	NA	-0.101664882772562
MSV-A-UG-Mpi-11_2005	-0.872026106976663	-1.73671114363857	-0.564600635964738	0.477519610431362	0.444853884542781	0.164402206849164	-2.85535239347701	-2.64827443960805	-3.14396311916417	-1.32241212853058	-1.13624733179801	-1.46404718050118	0.135265112809174	0.144018401195352	0.10866055216543	0.094036540455914	0.150891633737338	-0.00815191047351654
MSV-A-UG-Mub94_2005	-0.662961966550585	-1.76598993596129	-0.576284669670015	0.264589909942633	0.343070527328449	0.0449293332273094	-2.96035453690942	-2.88569437503086	-3.22301248096856	-1.30744831845825	-1.31872258353566	-1.54548276990563	0.132179738162084	0.137155157467522	0.106456896905633	0.105904793058318	0.0920317458092854	0.00241480046554411
MSV-A-ZA-Cat2-D3_2006	-0.490458185379879	-0.712719906427023	-0.660050778428637	0.354035524288901	-0.0837200227620676	-0.208460598023408	-2.93100292133731	-3.1985087394492	-3.26140361843389	-1.37463664185133	-1.44150047063655	-1.46599877232513	0.0447882253750054	0.24034598176781	0.239728559396183	-0.140040341632947	0.221472731013022	0.21068263656211
MSV-A-ZA-Hei-O9_1979	-1.00858008703789	-1.93520496547962	NA	-0.00931508696410808	0.0559229280916282	NA	-3.04451551764854	-2.86068134207357	NA	-1.51509795751567	-1.29710856679958	NA	0.223522443778849	0.181237925081636	NA	0.166280955640984	0.137965743870218	NA
MSV-A-ZA-Kom_1989	-1.22061860025202	-1.9296441399076	-0.43565946323471	-0.194386690952512	-0.0995989152075222	-0.682385881789218	-3.04422588195915	-2.91609008022486	-3.39416309486666	-1.38802865085948	-1.18197493169597	-1.18099435072405	0.205024702506667	0.199092557657028	0.190579738188315	0.129501323386109	0.149260722381341	0.153224127818393
MSV-A-ZA-Mak2-M49_1988	-0.841333126776371	-0.853726621327176	-0.65429006780895	0.342979515828841	0.182652364936795	-0.230597147957162	-2.94331427295828	-3.1587360467811	-3.34063218354132	-1.4596615760417	-1.40645108890545	-1.47030390529934	0.108012936092333	0.240822367095409	0.236842820652836	-0.0564912158359493	0.214192122676738	0.178916513290612
MSV-A-ZA-MakD_1998	-0.556010223679771	-1.47308461618809	-0.528861326431102	-0.149205894235549	0.0995516297023978	-0.356416471390015	-3.14437787030509	-2.80012096961303	-3.1414995280538	-1.30377084928557	-1.13212393988479	-1.21705649631074	0.225167837502958	0.222771823882352	0.236987050553106	0.226695543388509	0.241514548993962	0.236806822214816
MSV-A-ZA-Pot1-Riz48_2007	-0.305640122514705	-0.492841976550468	-0.381699239032039	-0.707056159590236	-0.429682062357817	-1.03308317271874	-3.45433120289976	-3.64102128594127	-3.40021251808828	-1.54269308797025	-1.47192461887518	-1.52225997737561	0.1749334285837	0.210027183655512	0.211119882455763	0.12005356236645	0.178817044604546	0.218623236476137
MSV-A-ZA-Pot4-O28_1979	-0.838658684289271	-2.43787911231043	-0.671476260515471	0.00018812067885263	0.0833930318979206	-0.360674270487102	-3.03408049887419	-2.87642027292296	-3.03677123913273	-1.37703176187262	-1.20370556264489	-1.49044182050263	0.18425920752925	0.154526453898827	0.161668414575717	0.126439112017272	0.212588927961045	0.137953324047352
MSV-A-ZA-Pot6-O29_1979	-0.750424861396867	-2.43161555389951	-0.569118768555221	-0.249653175456788	0.091619495411908	-0.379851488353524	-3.14704580454888	-2.75326900231354	-3.03435673899012	-1.4469189765802	-1.1568282761658	-1.55974633825272	0.172481073722565	0.17130175121761	0.160039406315732	0.0506417189772123	0.161608371128036	0.0760194091582118
MSV-A-ZA-Pot8-O33_1979	-0.530257326108563	-1.7091087294957	-0.511300600960793	-0.236060305892944	-5.9305897264314e-05	-0.727773587308752	-3.25784423175459	-2.91752383745809	-3.06226088114287	-1.49615194205243	-1.45610004784831	-1.51417818088831	0.179445545760538	0.202795252136615	0.161922862696573	0.067010969106275	0.202534451679415	0.126888613872764
MSV-A-ZW-Chi-Zim3_2006	-0.577395053232367	-1.34458879821014	-0.486788221287833	0.434879089775241	0.24067255793019	-0.31559301870761	-2.96332435383846	-3.03877752531749	-3.39546515877461	-1.47360901070085	-1.39870007944524	-1.50654495685695	0.0552633401170301	0.25322878122344	0.254726885639768	-0.118153687854713	0.264882200970085	0.225241167259853
MSV-A-ZW-Har2-Mic22_1987	-1.42320014131054	-2.49317228872062	NA	0.222609120036359	0.0857100157472176	NA	-2.9285081513947	-2.73022908309243	NA	-1.49659346886193	-1.10387682750739	NA	0.234215005129954	0.18730704888771	NA	0.229175878795618	0.215287642656807	NA
MSV-A-ZW-Hel2-Bet36_2006	-0.815020728242127	-1.00031422947452	-0.380040458445198	0.354805578997863	0.137459733625459	-0.21759748024352	-2.85722244636905	-3.09059287162243	-3.26333407381069	-1.36844684141904	-1.29069611423571	-1.45982673178963	0.112060573063349	0.231490361887918	0.222925268400963	-0.0085150890670707	0.236150892888912	0.195916198287057
MSV-A-ZW-Mas1-Bet43_2006	-0.779758574784259	-1.3596131476899	-0.558512954697981	0.175370858824877	0.181098174845305	-0.284352450635908	-3.0376203619121	-3.10029582537609	-3.30733647101973	-1.44210804864869	-1.38657472081192	-1.47536591572888	0.173072875722221	0.244802869946999	0.237207777325791	0.129542881889546	0.299005867068066	0.22127595794308
MSV-A-ZW-Mas2-Mic4_1993	-1.48464375612988	-2.07729320816211	NA	0.0389166268319125	0.135166294972358	NA	-3.07240726124762	-2.7557391616595	NA	-1.38287359164917	-1.2562850265276	NA	0.235807745396015	0.187416814779289	NA	0.224095842599181	0.249884635564071	NA
MSV-A-ZW-MatA_1994	-0.864718886539179	-2.20358951911494	NA	0.267928459966347	0.203810045204233	NA	-2.79308035592462	-2.62691962737335	NA	-1.51800810421898	-1.1176712495288	NA	0.226314141193101	0.174713938783531	NA	0.21479576425618	0.196327911082467	NA
MSV-A-ZW-MatC_1998	-0.72337657234442	-1.44327978999418	-0.306324209796921	-0.158120321966339	-0.0644299892758337	-0.221890010558937	-3.19168547188654	-2.93849443811162	-3.13245831377748	-1.16230640179511	-1.12041008674655	-1.32097311981095	0.252491437405523	0.253196877162025	0.220149194838277	0.171829035062246	0.217544245741884	0.159777476372995
MSV-A1-Za-ThoE-g132_2006	-0.575274759276968	-1.01787668341232	-0.535935157102565	0.143645042264457	0.0524680836680991	-0.368450159215715	-3.09156621522992	-3.30593338502566	-3.39679171041946	-1.41418047388959	-1.41803536339126	-1.44035253659433	0.0506736316326714	0.224450633122228	0.251216088041755	-0.147863671523956	0.164486940512883	0.222646280832157
MSV-A4-Za-Nat-g195_2006	-0.481795291423976	-1.07303316826605	-0.316660044959791	-0.182217613426897	-0.161336137184657	-0.906429258178954	-3.24899201996705	-3.44419847586878	-3.44292143366207	-1.41847165881777	-1.36166445542255	-1.45565472569765	0.0527698457018029	0.211191389412099	0.215339148013367	-0.0999623888112784	0.19728174468392	0.201116427831061
MSV-A4-Za-Omr-g221_2007	-0.647491959803402	-0.949966375970881	-0.51558876245265	0.072444603903975	0.00351329170905892	-0.579227823083528	-3.0954643003938	-3.30911643598033	-3.36329801319632	-1.44047973023596	-1.36053681936785	-1.41690178917332	0.0597547779581398	0.240512057998514	0.231158607738864	-0.114954818497459	0.204091899507153	0.224304134387638
MSV-A4-Za-RosE-g131_2006	-0.298142775551641	-0.954818393751723	-0.61069927926943	0.26739946800807	0.0709125090801957	-0.492475045876572	-3.09908063454238	-3.34644688465473	-3.457101852728	-1.48200158450933	-1.43372432480701	-1.5103236385867	0.0411098393907577	0.220151995198283	0.236604571000912	-0.159842843713284	0.204993821648611	0.212513445361169
MSV-A4-Zw-Nmg-g168_2006	-0.550264494340885	-0.950563944406959	-0.583021071404056	0.152876045231411	0.0938384745585115	-0.495680439605983	-3.07096186004649	-3.27298628831071	-3.45815512022314	-1.4390235147875	-1.28455775706762	-1.51745225931916	0.0636916191173449	0.210720362201771	0.233545761689856	-0.0863775688416136	0.171893868379868	0.19932167191626
MSV-UKas-75_2005	-0.55901049916335	-1.10364425793046	-0.499474573001647	-0.481452656357533	-0.170710394309938	-0.960315116879115	-3.38856237303967	-3.4427324110633	-3.5178285766193	-1.38160506155002	-1.48535622834131	-1.50425583789433	0.0883265048135171	0.0954811583323282	0.0524245439790483	-0.0430584048517062	-0.0323691552660713	-0.112062912386143
MSV-ULuw-107_2005	-0.635161122375725	-1.94322781465428	-0.662469380642408	0.177758391327305	0.137276656226226	-0.318891227739453	-3.07214429826012	-3.09560747260489	-3.34061380804453	-1.38871505675753	-1.27718799923841	-1.39604879903203	0.109420273096598	0.13071559548371	0.0452903814701617	0.00873538861239084	0.0940509926331408	-0.132818801234453
MSV-UWak-4_2005	-0.246904298662397	-1.27397536039	-0.00481554765638152	0.0495425728138939	0.335291810359372	-1.33217031695197	-3.16688833286201	-3.00264736033925	-3.56801468952467	-1.55484012355328	-1.20328648720844	-1.49935156194792	0.140287792518223	0.127548276040991	0.247652243335164	0.103253338305911	0.0873369145287972	0.267446238761559
MSV-VW_1989	-0.866237690866951	-0.586333778084778	0.00025789324642841	-1.37326457487528	-0.732916632209544	-1.18366980822248	-3.21735804777922	-2.98936047340294	-3.24181649535666	-1.49087586056734	-1.36566976538242	-1.52148303347374	0.193531822678697	0.157665363287793	0.235548628993387	0.13257321492991	0.0971639049671842	0.155957379716287
MSV-ZA-Pot3-O27K_1979	-1.42316742429346	NA	-0.618350491695335	-0.0801346908176494	NA	-0.327270835425093	-3.0788902075276	NA	-3.02647422317652	-1.39091263267631	NA	-1.53554030071747	0.181491846662758	NA	0.183293863054784	0.107278397612883	NA	0.137762834149045
New-ZA-O45RC-Ilanga_1988	-0.484602046821073	-0.517590082654719	-0.200029217263479	-0.399040705891627	-0.189335579422782	-0.571160885169028	-3.28475226600067	-3.18757036126634	-2.85836906203924	-1.51313475783994	-1.43515303603044	-1.31271620748311	0.143040440671416	0.171519642762573	0.115482846903823	0.0260811300727315	0.0944417143112421	0.0161086250645896
New-ZA-O59-Greytown_1989	-0.928594102076682	NA	NA	-0.184707535556749	NA	NA	-3.1572764411741	NA	NA	-1.38559598992112	NA	NA	0.222952323023652	NA	NA	0.223232880754391	NA	NA
New-ZA-O60-Bethlehem_1989	-0.925663157300389	-2.40221258499138	NA	-0.0953786125080353	0.099345747170011	NA	-3.08855833036454	-2.6780180553967	NA	-1.40963195281838	-1.15387370118081	NA	0.232709645053786	0.200215861261659	NA	0.232075292636904	0.219901502531464	NA
New-ZA-O65-Bethlehem_1989	-0.894437495808237	-2.90329559461482	NA	-0.147799973605459	0.0021883348460156	NA	-3.1761955306834	-2.6519812571849	NA	-1.35391614262566	-1.02739256124929	NA	0.199236530398287	0.175529135072277	NA	0.148300439964722	0.237115079016998	NA
New-ZA-O83-letsele_1987	-0.751202614506374	-2.18662153964596	NA	-0.419940183533232	0.0648468773274483	NA	-3.37280388840695	-2.88667908461153	NA	-1.43260878671425	-1.26853620481714	NA	0.218674359925303	0.171824409928138	NA	0.185286066294128	0.209756417562484	NA
New-ZA-O87RC-letsele_1987	-0.530133404348233	-0.935506799820507	-0.437830883774196	-0.842105789889758	-0.495810882498738	-0.744404567988633	-3.39266380772312	-3.20181908332952	-2.85828856370455	-1.52190831618176	-1.41639949616402	-1.28786497907433	0.121103782310748	0.149731961724667	0.121965976360405	0.00739839104517063	0.058364384388979	0.0450614542575333
ZA-O82-letsele_1987	-0.611457799657892	-1.82255945850208	NA	-0.435895765134326	0.141101845598494	NA	-3.38106625437609	-2.61464137140573	NA	-1.43310679761594	-1.18340760090432	NA	0.216138869114281	0.172017928238794	NA	0.157200631850221	0.164847279068372	NA
